"","mu","kappa","theta","xi","rho","lambda","mu_s","sigma_s"
"1",0.124557211559937,4.29247379711153,0.0683764782334215,0.225511659194987,-0.584165794112756,4.61987413415553,-0.37898359307416,0.00760243192692631
"2",-0.105095065096224,4.21099611600935,0.0947497074235931,0.334031387521221,-0.865963226163681,3.57877052807823,-0.34277605794982,0.00516926186812533
"3",0.1469832950609,1.87452242690621,0.0709285566510041,0.211542216502149,-0.989999109613864,1.77918625776553,-0.428095204566173,0.00859101751499
"4",-0.0124294170431629,5.31759253941374,0.0936077448239716,0.341706647927915,-0.752317780065341,2.03224820033519,-0.346439287377401,0.00347087685186954
"5",0.0104993488930808,8.76345102809715,0.0745453317851168,0.282782595025485,-0.578550054049727,4.1024402122608,-0.342507229066288,0.00731397080435388
"6",-0.0776575437573319,2.30519803457509,0.0912646574585604,0.216375717145712,-0.861166481034651,3.06313010430341,-0.357744562107764,0.00748244247228374
"7",0.130976504020328,8.12198519234332,0.0751394584099197,0.373738967380161,-0.639660551007728,1.52111187603466,-0.328860970576863,0.00283623939280283
"8",-0.108241428768098,3.99862284105103,0.0973703026671636,0.413407762163359,-0.770157816629485,2.80947500094604,-0.383633271316748,0.0124346851798228
"9",-0.00446973484812867,4.81104293758237,0.0841350898945957,0.346862782406771,-0.627211315029921,1.11261157081159,-0.255592534891118,0.0175075737107432
"10",0.122221369448168,8.89737966347445,0.0723172117958715,0.273386185873174,-0.830746403446267,1.77660290106727,-0.36719110309174,0.00679119288859167
"11",-0.192382992677851,3.76783798475193,0.0920708379122192,0.264131219289635,-0.809748916575962,2.54589892084777,-0.399306327275937,0.00899424639449717
"12",-0.0844245144562302,3.764212676206,0.0862013539588433,0.325138718681829,-0.965650528381581,3.33252511111813,-0.342677043520625,0.00925002666853996
"13",0.0772942557690083,3.43765271461376,0.08017535581162,0.298984690200965,-0.891308270103482,2.54542763994074,-0.396881949782212,0.00419034698686807
"14",-0.0195083757540109,4.25798349839168,0.0993959703594538,0.28494375796413,-0.933088643373903,3.1185203850736,-0.291349016419636,0.010165164685595
"15",0.0967318962391848,4.26128134344651,0.0752704760759387,0.291480917069998,-0.64201625995541,3.15177419690201,-0.357117772973541,0.0181056699704109
"16",0.230132827850839,6.47921206974572,0.0585967701403104,0.396221765718581,-0.685981602640444,4.6458027170882,-0.331705457301632,0.00823313466009133
"17",-0.106217658734267,3.25556090875046,0.0882134588608869,0.318505033495183,-0.610610055961868,3.57982210328702,-0.380640206790145,0.013800928060752
"18",0.0192602095139366,4.28501885474129,0.0800942396197866,0.285586709418952,-0.861168704233338,3.11060380595386,-0.358919586125103,0.0173308041764436
"19",0.0870826006760477,4.35642549496082,0.0701561159959561,0.33237672329116,-0.841084279741173,2.80370468815887,-0.350495360139437,0.0070969736722377
"20",0.00423218597543031,6.94928593727295,0.0756404829830772,0.299051640802255,-0.589807096676011,5.44532007049897,-0.361858330671664,0.0158488466668947
"21",0.0129915941022359,3.19620915985971,0.0731447903046253,0.25726717718885,-0.615946327001447,3.322047809897,-0.349873772567253,0.00790711250051029
"22",-0.0374215670850199,33.7823005218701,0.0738399394555595,0.596175939040502,-0.312912685026405,3.59132619949121,-0.319352398475271,0.00946476166787072
"23",-0.106631604391371,4.76554117838205,0.0711015843857372,0.222990160143337,-0.641191086422345,3.07584004489521,-0.346347292484294,0.013605486129618
"24",-0.232009596428822,3.5725986676355,0.0929680126388921,0.18468904047757,-0.98999998764522,3.58194113968398,-0.376789632494137,0.00989307735243522
"25",-0.00792646773818121,7.89974512907065,0.088134011825466,0.409946668059629,-0.567410522947437,2.55790673869948,-0.422608008478194,0.0171056479299387
"26",0.131340160110144,4.08292009089194,0.0743673379947019,0.266891652402152,-0.856573006131698,2.05401487316151,-0.364296627618562,0.00862128097091066
"27",0.0424447078095066,4.9636928133313,0.0668049128129292,0.322504516783157,-0.807776948965474,3.86707168553372,-0.363827649269619,0.0127835662931903
